Date,Average of Temp (F),Max of Temp (F),Min of Temp (F),Average of RH (%),Average of Dewpt (F),Average of Wind Spd (mph),Sum of Precip (in),Location,Lat,Lon,Elev,Month,Day,Year,MaxT7,MaxT14,MaxT21,MinT7,MinT14,MinT21,AvgT7,AvgT14,AvgT21,AvgT28,Rain7,Rain10,Rain14,Rain17,Rain21,Rain24,Rain28,MaxR7,MaxR14,MaxR21,MaxR2d7,MaxR2d14,MaxR2d21,Rain7d7,Rain7d14,Ran7d21,Ran14d7,Rain14d14,Rain14d21,Rain21d7,Rain21d14,Rain21d21
5/1/2007,63.45833333,83,52,63.5,50.5,9.25,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,1,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/2/2007,51.45833333,59,42,70.375,42,13.29166667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,2,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/3/2007,56.16666667,66,47,56,39.95833333,11.83333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,3,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/4/2007,59.04166667,66,49,50.375,40.70833333,10.625,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,4,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/5/2007,59.66666667,65,53,44.625,38.20833333,11.875,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,5,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/6/2007,58.375,68,50,34.125,29.54166667,15.04166667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,6,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/7/2007,67.5,83,47,39.91666667,40.91666667,10.5,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,7,2007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/8/2007,70.75,81,57,66.29166667,58.5,5.75,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,8,2007,83,NaN,NaN,42,NaN,NaN,59.38095238,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/9/2007,69,76,61,71.70833333,59.16666667,6.083333333,0.13,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,9,2007,83,NaN,NaN,42,NaN,NaN,60.42261905,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/10/2007,71.16666667,82,58,54,51.83333333,4.083333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,10,2007,83,NaN,NaN,47,NaN,NaN,62.92857143,NaN,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/11/2007,59.95833333,66,51,52,42.20833333,12.875,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,11,2007,83,NaN,NaN,47,NaN,NaN,65.07142857,NaN,NaN,NaN,0.13,0.13,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/12/2007,54.04166667,63,46,49.75,35.125,12.875,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,12,2007,83,NaN,NaN,47,NaN,NaN,65.20238095,NaN,NaN,NaN,0.13,0.13,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/13/2007,57.58333333,68,44,41.125,32.91666667,8,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,13,2007,83,NaN,NaN,46,NaN,NaN,64.39880952,NaN,NaN,NaN,0.13,0.13,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/14/2007,75.58333333,90,58,36,46.66666667,17.375,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,14,2007,83,NaN,NaN,44,NaN,NaN,64.28571429,NaN,NaN,NaN,0.13,0.13,NaN,NaN,NaN,NaN,NaN,0.13,NaN,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/15/2007,68.25,80,57,68.04166667,56.375,12.20833333,0.38,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,15,2007,90,90,NaN,44,42,NaN,65.44047619,62.41071429,NaN,NaN,0.13,0.13,0.13,NaN,NaN,NaN,NaN,0.13,0.13,NaN,0.13,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
