OBJECTID,GEOID,NAMELSAD,Trap,intersect_
600.00000,17031440300,Census Tract 4403,T229,58774.383
600.00000,17031440300,Census Tract 4403,T162,161907.113
600.00000,17031440300,Census Tract 4403,T227,3267.645
600.00000,17031440300,Census Tract 4403,T080,769521.358
600.00000,17031440300,Census Tract 4403,T102,677333.583
601.00000,17031440600,Census Tract 4406,T162,667639.718
601.00000,17031440600,Census Tract 4406,T227,240288.734
769.00000,17031691200,Census Tract 6912,T229,1015263.828
769.00000,17031691200,Census Tract 6912,T080,406564.398
789.00000,17031710900,Census Tract 7109,T229,628011.473
789.00000,17031710900,Census Tract 7109,T159,663920.434
795.00000,17031711500,Census Tract 7115,T089,399472.902
795.00000,17031711500,Census Tract 7115,T159,650288.430
795.00000,17031711500,Census Tract 7115,T085,345097.774
1373.00000,17031834000,Census Tract 8340,T162,667784.067
1373.00000,17031834000,Census Tract 8340,T089,73846.434
1373.00000,17031834000,Census Tract 8340,T159,152807.119
1373.00000,17031834000,Census Tract 8340,T085,167245.936
1441.00000,17031842400,Census Tract 8424,T229,1048418.438
1441.00000,17031842400,Census Tract 8424,T162,228880.563
1441.00000,17031842400,Census Tract 8424,T159,20793.329
1441.00000,17031842400,Census Tract 8424,T080,212001.772
672.00000,17031580100,Census Tract 5801,T060,679801.779
672.00000,17031580100,Census Tract 5801,T035,394516.930
672.00000,17031580100,Census Tract 5801,T034,181614.385
679.00000,17031580700,Census Tract 5807,T061,69925.621
679.00000,17031580700,Census Tract 5807,T060,549336.896
679.00000,17031580700,Census Tract 5807,T074,1707.855
679.00000,17031580700,Census Tract 5807,T157,16427.371
681.00000,17031590500,Census Tract 5905,T060,597429.532
681.00000,17031590500,Census Tract 5905,T074,520657.413
681.00000,17031590500,Census Tract 5905,T035,567616.259
681.00000,17031590500,Census Tract 5905,T157,597429.532
682.00000,17031590600,Census Tract 5906,T060,348500.056
682.00000,17031590600,Census Tract 5906,T074,348500.056
682.00000,17031590600,Census Tract 5906,T035,320683.061
682.00000,17031590600,Census Tract 5906,T157,348500.056
