OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
3,14000US17001000100,248,-1,129,-1
4,14000US17001000201,311,-1,149,-1
5,14000US17001000202,224,-1,100,-1
6,14000US17001000400,314,-1,146,-1
7,14000US17001000500,324,-1,137,-1
8,14000US17001000600,362,-1,164,-1
9,14000US17001000700,156,-1,104,-1
10,14000US17001000800,205,-1,90,-1
11,14000US17001000900,223,-1,101,-1
12,14000US17001001001,291,-1,143,-1
13,14000US17001001002,321,-1,134,-1
14,14000US17001001100,472,-1,199,-1
15,14000US17001010100,1075,-1,473,-1
16,14000US17001010200,858,-1,399,-1
17,14000US17001010300,834,-1,343,-1
18,14000US17001010400,388,-1,148,-1
19,14000US17001010500,268,-1,123,-1
20,14000US17001010600,333,-1,123,-1
21,14000US17003957600,453,-1,231,-1
22,14000US17003957700,285,-1,172,-1
23,14000US17003957800,167,-1,109,-1
24,14000US17003957900,138,-1,98,-1
25,14000US17005951200,509,-1,258,-1
26,14000US17005951300,481,-1,108,-1
27,14000US17005951400,541,-1,231,-1
28,14000US17005951500,772,-1,359,-1
29,14000US17007010100,407,-1,163,-1
30,14000US17007010200,267,-1,103,-1
31,14000US17007010300,339,-1,136,-1
32,14000US17007010400,392,-1,137,-1
33,14000US17007010500,595,-1,226,-1
34,14000US17007010601,548,-1,199,-1
35,14000US17007010602,811,-1,293,-1
36,14000US17009970400,374,-1,199,-1
37,14000US17009970500,563,-1,167,-1
38,14000US17011964700,927,-1,406,-1
39,14000US17011964800,781,-1,332,-1
40,14000US17011964900,465,-1,212,-1
41,14000US17011965000,1052,-1,477,-1
42,14000US17011965100,863,-1,381,-1
43,14000US17011965200,293,-1,146,-1
44,14000US17011965300,303,-1,136,-1
45,14000US17011965400,335,-1,170,-1
46,14000US17011965500,819,-1,349,-1
47,14000US17011965600,1016,-1,475,-1
48,14000US17013951200,534,-1,316,-1
49,14000US17013951300,515,-1,289,-1
50,14000US17015960100,824,-1,415,-1
51,14000US17015960200,311,-1,165,-1
52,14000US17015960300,273,-1,143,-1
53,14000US17015960400,544,-1,258,-1
54,14000US17015960500,587,-1,260,-1
55,14000US17015960600,322,-1,165,-1
56,14000US17017960100,566,-1,273,-1
57,14000US17017960200,649,-1,317,-1
58,14000US17017960300,318,-1,133,-1
59,14000US17017960400,315,-1,149,-1
60,14000US17017960500,361,-1,139,-1
61,14000US17019000200,178,-1,91,-1
62,14000US17019000301,298,-1,140,-1
63,14000US17019000302,157,-1,103,-1
64,14000US17019000401,677,-1,82,-1
65,14000US17019000402,429,-1,127,-1
66,14000US17019000500,197,-1,109,-1
67,14000US17019000700,231,-1,120,-1
68,14000US17019000800,278,-1,127,-1
69,14000US17019000901,331,-1,154,-1
70,14000US17019000902,358,-1,146,-1
71,14000US17019001000,229,-1,120,-1
72,14000US17019001100,369,-1,178,-1
73,14000US17019001201,307,-1,153,-1
74,14000US17019001203,463,-1,187,-1
75,14000US17019001204,371,-1,140,-1
76,14000US17019001205,471,-1,187,-1
77,14000US17019001206,312,-1,155,-1
78,14000US17019001301,345,-1,168,-1
79,14000US17019001302,444,-1,208,-1
80,14000US17019001400,694,-1,147,-1
81,14000US17019005300,298,-1,141,-1
82,14000US17019005401,199,-1,114,-1
83,14000US17019005402,259,-1,125,-1
84,14000US17019005500,354,-1,140,-1
85,14000US17019005600,341,-1,162,-1
86,14000US17019005701,281,-1,146,-1
87,14000US17019005702,311,-1,156,-1
