OBJECTID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Id,Id2,Geography,"Total; Est",Households,"Total; E_1",Househol_1,"Total; E_2",Househol_2,"Total; E_3",Househol_3,Househol_4,Id_2,Id2_2,Geography_,"Total; E_4","Total; E_5","Total; E_6","Total; E_7","Total; E_8","Total; E_9","Total; E10","Total; E11","Total; E12","Total; E13","Total; E14","Total; E15","Total; E16","Total; E17","Total; E18","Total; E19","Total; E20","Total; E21","Total; E22","Total; E23","Total; E24","Total; E25","Total; E26","Total; E27","Total; E28","Total; E29",_count,_sum,_mean
600.00000,17031440300,Census Tract 4403,1295022.00000,0.00000,+41.7437208,-87.6195427,1400000US17031440300,17031440300,"Census Tract 4403, Cook County, Illinois",2290,121,415,169,1875,205,35.9,6,37.1,1400000US17031440300,17031440300,"Census Tract 4403, Cook County, Illinois",5072,509,2180,305,2892,390,7.7,3.1,7.9,6.4,7.5,4.2,4.7,2.3,2.3,2.7,6.5,3.9,6.3,3,11.4,6.1,2.5,1.8,8.5,3.3,50061.000000000000000,1369.370291367946038,0.027354033905994
601.00000,17031440600,Census Tract 4406,666619.00000,0.00000,+41.7326718,-87.6191373,1400000US17031440600,17031440600,"Census Tract 4406, Cook County, Illinois",913,75,83,42,830,88,39.4,8.4,28.9,1400000US17031440600,17031440600,"Census Tract 4406, Cook County, Illinois",2567,422,1170,247,1397,244,6,4.4,3.5,4.5,8.2,8,8.3,3.2,12.5,7,4.7,3.5,6.3,3.5,12.6,6.7,0.9,1.5,8.1,3.9,33731.000000000000000,0.000000000000000,0.000000000000000
769.00000,17031691200,Census Tract 6912,1003068.00000,10662.00000,+41.7526208,-87.6304113,1400000US17031691200,17031691200,"Census Tract 6912, Cook County, Illinois",1015,119,289,106,726,142,35.4,8.8,32.2,1400000US17031691200,17031691200,"Census Tract 6912, Cook County, Illinois",2237,330,968,199,1269,229,4,3.9,3.9,4.5,4,4.1,4.8,3.5,6.3,5.6,3.7,4.3,9.4,5.3,11.3,8.3,8,5.6,7.6,3.7,51292.000000000000000,0.000000000000000,0.000000000000000
789.00000,17031710900,Census Tract 7109,990948.00000,0.00000,+41.7421461,-87.6396893,1400000US17031710900,17031710900,"Census Tract 7109, Cook County, Illinois",674,105,174,87,500,107,18.8,9.8,19.5,1400000US17031710900,17031710900,"Census Tract 7109, Cook County, Illinois",2616,503,1275,278,1341,312,12.1,6.5,12.3,10,11.9,5.7,9.7,5.3,10.7,8.6,8.7,5.2,13,4.7,17.5,6.5,8.7,4.3,12.2,3.6,49944.000000000000000,2250.930781284968361,0.045069093009870
795.00000,17031711500,Census Tract 7115,649295.00000,0.00000,+41.7324402,-87.6386888,1400000US17031711500,17031711500,"Census Tract 7115, Cook County, Illinois",873,102,133,78,740,123,52.5,12.2,41.4,1400000US17031711500,17031711500,"Census Tract 7115, Cook County, Illinois",3079,498,1085,196,1994,415,7.3,5,8.3,10.5,6.7,4.3,8,2.9,6.6,4.8,8.7,3.7,6.3,3.5,1.8,2.6,8.8,4.9,13.3,3.9,32909.000000000000000,5921.986137020401657,0.179950352092753
1373.00000,17031834000,Census Tract 8340,984827.00000,0.00000,+41.7275601,-87.6295042,1400000US17031834000,17031834000,"Census Tract 8340, Cook County, Illinois",1357,107,246,82,1111,120,34.8,6.2,25.6,1400000US17031834000,17031834000,"Census Tract 8340, Cook County, Illinois",3572,405,1732,280,1840,237,5.9,3.6,6.6,4.4,5.3,3.8,6,2.4,7.7,3.3,4.3,3.4,9.6,3.8,10.5,5.6,8.7,4.4,10.5,3.4,46023.000000000000000,233.589696044956497,0.005075499120982
1441.00000,17031842400,Census Tract 8424,1968586.00000,0.00000,+41.7424754,-87.6300401,1400000US17031842400,17031842400,"Census Tract 8424, Cook County, Illinois",1490,73,218,85,1272,112,38.5,7.2,39.4,1400000US17031842400,17031842400,"Census Tract 8424, Cook County, Illinois",3766,407,1846,268,1920,257,6.9,2.7,8.1,5.1,5.8,3.1,6.1,3.9,8.7,7.6,3.6,2.7,6,2.7,5.8,3.7,6.2,4.4,8.4,3.3,66444.000000000000000,0.787823925655245,0.000011856961135
672.00000,17031580100,Census Tract 5801,763337.00000,0.00000,+41.8280549,-87.6907463,1400000US17031580100,17031580100,"Census Tract 5801, Cook County, Illinois",818,87,91,64,727,95,32,10.2,46.2,1400000US17031580100,17031580100,"Census Tract 5801, Cook County, Illinois",2962,465,1372,284,1590,282,9.2,3.9,9.9,4.5,8.6,5.5,9.5,2.8,7.2,3.6,11.5,4.9,5.7,2.9,6.4,5.1,5,3.5,8.5,3.3,37654.000000000000000,1738.360344745674411,0.046166684674820
679.00000,17031580700,Census Tract 5807,550116.00000,0.00000,+41.8174935,-87.6868459,1400000US17031580700,17031580700,"Census Tract 5807, Cook County, Illinois",1477,125,335,122,1142,156,22.5,6.8,16.4,1400000US17031580700,17031580700,"Census Tract 5807, Cook County, Illinois",5598,716,2799,378,2799,420,10.9,3.3,9.5,4.4,12.3,4.5,7,2.4,8,3.7,6,3,9.9,2.9,9.5,3.5,10.3,3.6,11.7,3.4,27850.000000000000000,205.512545683067657,0.007379265554150
681.00000,17031590500,Census Tract 5905,572319.00000,24222.00000,+41.8248983,-87.6804757,1400000US17031590500,17031590500,"Census Tract 5905, Cook County, Illinois",634,66,15,20,619,70,25.9,10.1,33.3,1400000US17031590500,17031590500,"Census Tract 5905, Cook County, Illinois",1895,279,1106,194,789,174,12,6.1,10.7,8.3,13.9,9.2,5.4,2.9,6.9,5.3,3.3,3.6,6.4,4.2,7,5.6,5.7,5.1,4.4,3.2,30176.000000000000000,9246.986183281987906,0.306435120071646
