InputID,TargetID,Distance
T002,T051,16968.51836
T002,T047,12957.56269
T002,T043,13932.91805
T002,T013,3675.98196
T002,T219,10560.04005
T002,T161,28183.39642
T002,T088,12876.67007
T002,T084,33611.02534
T002,T030,9312.49082
T002,T018,13065.75058
T002,T014,2036.76310
T002,T149,11895.31382
T002,T147,8733.10393
T002,T146,8169.40836
T002,T145,16554.15116
T002,T154,5679.46661
T002,T152,13962.94323
T002,T151,4267.56545
T002,T150,11875.05284
T002,T220,9110.02897
T002,T218,5872.82818
T002,T162,29806.77412
T002,T158,31194.63889
T002,T008,6255.09086
T002,T006,3966.00522
T002,T003,3747.13176
T002,T001,5557.72617
T002,T011,2851.12226
T002,T009,3183.98671
T002,T159,27648.06861
T002,T153,6193.57367
T002,T028,9888.77161
T002,T025,4964.71197
T002,T019,8518.15613
T002,T016,6380.99978
T002,T090,14707.31139
T002,T089,28609.20828
T002,T033,9832.14536
T002,T031,17298.39673
T002,T142,2014.48779
T002,T141,3481.67177
T002,T135,33121.66900
T002,T092,17238.15692
T002,T045,11747.28992
T002,T015,2922.71513
T002,T007,5190.78719
T002,T050,9683.15257
T002,T049,13721.08455
T002,T048,15585.41643
T002,T046,14054.64698
T002,T094,28289.15709
T002,T091,16267.98359
T002,T086,31335.68761
T002,T054,14470.79342
T002,T148,11687.28579
T002,T143,4956.32529
T002,T129,17226.39874
T002,T096,26784.25131
T002,T238,23670.94572
T002,T237,25520.54260
T002,T236,5094.06198
T002,T235,24504.09690
T002,T054C,14252.00067
T002,T094B,28349.47695
T002,T065A,20125.12099
T002,T227,30119.37137
T002,T225,24168.37063
T002,T223,2153.63237
T002,T222,5589.13405
T002,T230,6729.64408
T002,T229,26056.10256
T002,T226,21626.17532
T002,T224,10771.81044
T002,T232,11977.54586
T002,T231,11754.55563
T002,T035,21762.66573
T002,T228,6303.24493
T002,T234,3535.14699
T002,T233,6152.23901
T002,T002B,1023.77361
T002,T002A,1985.97499
T002,T221,39407.16020
T002,T157,18076.52304
T002,T156,20821.60745
T002,T027,6877.99470
T002,T090A,31698.75400
T002,T903,10783.50752
T002,T900,7754.20446
T002,T009,6635.24636
T002,T128A,30845.42211
T002,T200A,32431.09502
T002,T090C,33364.92226
T002,T090B,15008.16838
T002,T218B,4996.78334
T002,T218C,5690.51130
T002,T218A,5811.95968
T002,T200B,40353.94533
T002,T206,32298.29361
T002,T200,36653.16136
T002,T138,31035.53198
T002,T115,35430.74978
T002,T107,30876.37348
T002,T215,37266.65809
T002,T212,37577.91032
T002,T209,31805.62758
T002,T097,38115.84655
T002,T078,23330.33670
T002,T072,24380.15382
T002,T128,33969.25339
T002,T103,35580.79309
T002,T102,27900.90886
T002,T100,34540.63046
T002,T099,31913.36786
T002,T073,26120.98219
T002,T071,19352.06510
T002,T070,17447.80083
T002,T069,23051.25345
T002,T077,26442.41041
T002,T076,23480.09305
T002,T075,24858.89323
T002,T074,18448.08875
T002,T082,21314.93476
T002,T081,20620.35173
T002,T080,27155.28452
T002,T079,28794.91549
T002,T063,15611.50591
T002,T155,19913.85126
T002,T114,18126.55229
T002,T083,28287.28053
T002,T017,2080.18576
T002,T005,2472.46785
T002,T160,10971.44603
T002,T144,1691.03802
T002,T035,16629.36552
T002,T004,4452.89058
T002,T095,28956.16098
T002,T044,11234.46700
T002,T061,19811.74287
T002,T060,17813.01435
T002,T039,7784.30953
T002,T036,14350.25546
T002,T067,22178.65513
T002,T066,21895.29774
T002,T065,20002.61071
T002,T062,18630.70264
T002,T040,13180.93653
T002,T037,3753.08316
T002,T034,15541.05000
T002,T012,6049.55621
T002,T085,28850.59503
T007,T051,18966.21427
T007,T047,15335.62274
T007,T043,16477.93392
T007,T013,8024.44622
T007,T219,8434.34489
T007,T161,31629.90222
T007,T088,15236.02080
T007,T084,36451.83566
T007,T030,11492.35047
T007,T018,9039.98963
T007,T014,3155.22338
T007,T149,8413.55819
T007,T147,9037.73137
T007,T146,6870.56947
T007,T145,17387.97738
T007,T154,8588.35459
T007,T152,17115.13354
T007,T151,9119.17161
T007,T150,7846.39735
T007,T220,7286.05683
T007,T218,6104.94663
T007,T162,32580.55802
T007,T158,35070.00536
T007,T008,1643.56229
T007,T006,2366.21726
T007,T003,3549.11379
T007,T001,5440.43927
T007,T011,7660.16030
T007,T009,3888.19676
T007,T159,30750.20322
T007,T153,9725.96793
T007,T028,6648.27143
T007,T025,2317.36084
T007,T019,7721.26245
T007,T016,3955.25119
T007,T090,16456.12597
T007,T089,31772.88659
T007,T033,11311.44267
T007,T031,21496.68818
T007,T142,4697.59370
T007,T141,3771.22961
T007,T135,37169.77375
T007,T092,18256.66368
T007,T045,11795.17236
T007,T015,5154.19507
T007,T002,5190.78719
T007,T050,10454.08979
T007,T049,14479.15431
T007,T048,17112.00428
T007,T046,14957.05628
T007,T094,31633.27582
T007,T091,17804.65533
T007,T086,34918.83951
T007,T054,13969.28634
T007,T148,7197.83745
T007,T143,2227.87715
T007,T129,17439.46074
T007,T096,30196.45875
T007,T238,27322.11543
T007,T237,29097.22524
T007,T236,138.57510
T007,T235,26991.97910
