Trap,any_positive,avg_mosq_per_obs,n_obs,percent_pos,neighbor_mosq_score,neighbor_onehot_score,neighbor_posrate_score
T001,0,2.5,10,0,0.027973586,0.01305144,0.02610288
T002,1,55.37313433,67,0.268656716,0,0,0
T002A,0,0,0,0,0.003990235,0.006879715,0.006879715
T002B,0,0,0,0,0.013807917,0.007225073,0.004013929
T003,1,21.03125,64,0.21875,0.008120317,0,0
T004,0,6.555555556,9,0,0.002853805,0,0
T005,1,5.555555556,9,0.222222222,0,0,0
T006,1,7.133333333,15,0.266666667,0.014501967,0.010088325,0.037831218
T007,0,5.133333333,15,0,0.142427046,0.072163037,0.037980546
T008,1,44.46666667,60,0.166666667,0,0,0
T009,1,35.92592593,54,0.166666667,0.028897759,0.0090235,0.020302875
T011,1,19.86363636,66,0.166666667,0,0,0
T012,1,16.70175439,57,0.070175439,0.003698081,0,0
T013,1,21.69090909,55,0.181818182,0.013129599,0.011517192,0.007678128
T014,1,26,14,0.285714286,0.021785756,0.006802734,0.015306152
T015,1,9.388888889,18,0.222222222,0.027157725,0.007559367,0.012598944
T016,1,28.23333333,30,0.233333333,0.07597143,0.02505654,0.070158312
T017,0,4.480769231,52,0,0.006910912,0.011915366,0.011915366
T018,0,2.813953488,43,0,0.003091243,0,0
T019,0,4.8,15,0,0.007143121,0,0
T025,0,5.142857143,14,0,0.012009751,0.007190712,0.005046114
T027,1,15.13636364,44,0.159090909,0,0,0
T028,1,16.4516129,62,0.14516129,0,0,0
T030,1,30.54237288,59,0.13559322,0,0,0
T031,1,23.37878788,66,0.075757576,0,0,0
T033,1,12.14285714,56,0.089285714,0.013301774,0.008588233,0.007989053
T034,0,5.2,10,0,0.006728802,0.009145944,0.006532817
T035,1,7.357142857,42,0.071428571,0.003242786,0,0
T036,1,4.727272727,11,0.090909091,0.004730589,0.006774963,0.00237718
T037,1,11.4,15,0.066666667,0.04182719,0.014232716,0.012745716
T039,1,7.622641509,53,0.075471698,0,0,0
T040,0,6,1,0,0.008839198,0.012659152,0.004441808
T043,0,4.948717949,39,0,0.006841251,0,0
T044,0,4.5,8,0,0,0,0
T045,1,21.9375,16,0.1875,0.009109001,0.009873392,0.006369931
T046,0,10.26666667,60,0,0.008510739,0.017348814,0.003273361
T047,1,16.61666667,60,0.05,0.082862688,0,0
T048,1,27.21212121,66,0.060606061,0.011406942,0.014364298,0.008449587
T049,1,4.905660377,53,0.018867925,0.017811449,0,0
T050,0,6.8,10,0,0.006162196,0.006678863,0.005040652
T051,0,2.75,12,0,0,0,0
T054,1,16.09090909,66,0.090909091,0.048481402,0.023404815,0.03343545
T054C,1,20.71428571,7,0.142857143,0.037660475,0.023404815,0.021277105
T060,0,2.090909091,11,0,0.005045582,0,0
T061,1,15,56,0.142857143,0,0,0
T062,1,11.75471698,53,0.018867925,0,0,0
T063,1,10.28813559,59,0.033898305,0.003645973,0.007712634,0.007011486
T065,1,21.52,50,0.1,0.005676097,0.008374569,0.009305077
T065A,0,0,0,0,0.007292019,0.010758717,0.01195413
T066,1,23.37931034,58,0.103448276,0,0,0
T067,1,16.41666667,12,0.083333333,0.013171967,0.017903645,0.012788318
T069,1,8.959183673,49,0.020408163,0,0,0
T070,1,9,10,0.2,0,0,0
T071,0,5.416666667,12,0,0.016509616,0.016198114,0.018690132
T072,0,2.714285714,7,0,0.015575058,0,0
T073,1,13.96721311,61,0.06557377,0.001995355,0.007411318,0.002850507
T074,1,15.09836066,61,0.032786885,0.011953542,0,0
T075,0,5.2,10,0,0,0,0
T076,0,6.25,4,0,0,0,0
T077,1,2.692307692,26,0.038461538,0.010351546,0.007411318,0.004859881
T078,0,3.4,5,0,0,0,0
T079,1,6.836734694,49,0.020408163,0,0,0
T080,1,9.019607843,51,0.039215686,0.019300039,0.012717945,0.004462437
T081,1,7.137931034,29,0.103448276,0,0,0
T082,1,16.51851852,54,0.148148148,0.017587094,0.007051429,0.008295799
T083,1,7,48,0.041666667,0.011865934,0.00781917,0.002743569
T084,1,6.5,14,0.071428571,0,0,0
T085,1,12.33333333,15,0.066666667,0.020917936,0.007781289,0.006102972
T086,1,69.05263158,19,0.421052632,0,0,0
T088,0,8.928571429,14,0,0.154212986,0.09280621,0.046403105
T089,1,6.338983051,59,0.06779661,0.024714806,0.009193691,0.007210738
T090,1,25.92307692,65,0.107692308,0,0,0
T090A,0,0,0,0,0,0,0
T090B,0,0,0,0,0.0062659,0.007890392,0.004641407
T091,1,7.941176471,17,0.058823529,0,0,0
T092,0,9.5,12,0,0.007409055,0.009952462,0.001843048
T094,1,19.62295082,61,0.06557377,0.013439262,0,0
T094B,0,13.66666667,3,0,0.022731016,0,0
T095,1,10.58928571,56,0.089285714,0,0,0
T096,1,34,17,0.352941176,0.007279245,0,0
T097,1,14.33333333,9,0.111111111,0,0,0
T099,0,4.6,30,0,0.017854685,0.009304328,0.004812584
T100,0,21.72727273,11,0,0,0,0
T102,1,15.1754386,57,0.035087719,0.005473419,0.00781917,0.003257988
T103,1,249,12,0.5,0,0,0
T107,1,7.166666667,12,0.166666667,0.373867874,0.023705391,0.060204166
T114,1,36.62711864,59,0.152542373,0,0,0
T115,1,328.3030303,66,0.621212121,0,0,0
T128,1,58.15789474,57,0.192982456,0,0,0
T128A,0,0,0,0,0.003981917,0,0
T129,0,5.538461538,13,0,0,0,0
T135,1,47.3030303,66,0.121212121,0,0,0
T138,1,157.7142857,63,0.253968254,0.024259478,0.007613237,0.008230527
T141,0,2.785714286,14,0,0.003145043,0,0
T142,1,5.8,10,0.1,0.005339001,0,0
T143,1,14.375,16,0.375,0.007196338,0.010088325,0.0269022
T144,1,19.11111111,36,0.055555556,0,0,0
T145,1,7.444444444,54,0.018518519,0.009454838,0,0
T146,0,7.125,16,0,0.009771493,0.009136578,0.00619429
T147,1,9.226415094,53,0.075471698,0.004541627,0,0
T148,0,5.702702703,37,0,0,0,0
T149,0,1.5,10,0,0.026783351,0.01233782,0.020563034
T150,0,3.733333333,15,0,0.002329986,0,0
T151,1,29.3880597,67,0.089552239,0.016225296,0.014232716,0.009488477
T152,1,6.98245614,57,0.035087719,0.007595491,0,0
T153,0,10.66666667,24,0,0.028595766,0.018205379,0.031082354
T154,1,17.09090909,11,0.181818182,0.009538688,0.011446426,0.003179563
T155,1,10.19230769,52,0.115384615,0.008773978,0,0
T156,1,6.777777778,9,0.111111111,0,0,0
T157,0,4.7,10,0,0.038399764,0.025433069,0.008338711
T158,1,42.91666667,60,0.1,0,0,0
T159,1,26.88235294,51,0.078431373,0.005827865,0.009193691,0.006233011
T160,1,15.48837209,43,0.093023256,0.010428568,0.008588233,0.007668065
T161,0,10.5,12,0,0.023570889,0.006932614,0.024468051
T162,1,5.833333333,12,0.083333333,0.027587436,0.008657635,0.009359605
T200,1,32.57142857,42,0.023809524,0,0,0
T200A,0,0,0,0,0.019563092,0.010194603,0.005273071
T200B,0,0,0,0,0.023296525,0.006855952,0.012340714
T206,0,5.416666667,12,0,0.038789906,0.020213967,0.0104555
T209,1,19.18965517,58,0.051724138,0.010949232,0,0
T212,1,44.74137931,58,0.051724138,0.097186576,0.014828938,0.034220625
T215,1,65.53846154,13,0.230769231,0.066346713,0.014828938,0.00767014
T218,0,0,0,0,0.034427558,0.016062624,0.032125249
